produto;sexo;idade_entrada;breakeven_exibido;breakeven_real;regra;resgate_10a_por_1mm;aportes_10a_por_1mm;pct_do_aportado
METLIFE_VIDA_TOTAL_10;M;58;14;14;CALCULADO;708677.98;748816.00;94.64
METLIFE_VIDA_TOTAL_10;M;59;15;15;CALCULADO;721146.17;770902.10;93.55
METLIFE_VIDA_TOTAL_10;M;60;14;14;CALCULADO;733496.27;777222.10;94.37
METLIFE_VIDA_TOTAL_10;M;61;15;15;CALCULADO;745686.72;800820.90;93.12
METLIFE_VIDA_TOTAL_10;M;62;17;17;CALCULADO;757662.32;825678.60;91.76
METLIFE_VIDA_TOTAL_10;M;63;19;19;CALCULADO;769348.34;851761.50;90.32
METLIFE_VIDA_TOTAL_10;M;64;21;21;CALCULADO;780684.57;879157.80;88.80
METLIFE_VIDA_TOTAL_10;M;65;24;24;CALCULADO;791642.41;908110.30;87.17
METLIFE_VIDA_TOTAL_10;M;66;;;CALCULADO;802228.69;999889.30;80.23
METLIFE_VIDA_TOTAL_10;M;67;;;CALCULADO;812467.84;1031689.20;78.75
METLIFE_VIDA_TOTAL_10;M;68;;;CALCULADO;822401.54;1065605.20;77.18
METLIFE_VIDA_TOTAL_10;M;69;;;CALCULADO;832071.26;1106198.20;75.22
METLIFE_VIDA_TOTAL_10;M;70;;;CALCULADO;841486.24;1092932.10;76.99
METLIFE_VIDA_TOTAL_10;M;71;;;CALCULADO;850623.93;1063617.10;79.97
METLIFE_VIDA_TOTAL_10;M;72;;;CALCULADO;859436.18;1105330.10;77.75
METLIFE_VIDA_TOTAL_10;M;73;;;CALCULADO;867854.68;1149835.40;75.48
METLIFE_VIDA_TOTAL_10;M;74;;;CALCULADO;875826.83;1197147.60;73.16
METLIFE_VIDA_TOTAL_10;M;75;;;CALCULADO;883338.42;1247450.30;70.81
PRUDENTIAL_VIDA_INTEIRA_10;F;14;10;10;FIXO;228650.00;217637.90;105.06
PRUDENTIAL_VIDA_INTEIRA_10;F;15;10;10;FIXO;234620.00;223378.60;105.03
PRUDENTIAL_VIDA_INTEIRA_10;F;16;10;10;FIXO;240780.00;229242.80;105.03
PRUDENTIAL_VIDA_INTEIRA_10;F;17;10;10;FIXO;247090.00;235235.50;105.04
PRUDENTIAL_VIDA_INTEIRA_10;F;18;10;10;FIXO;253580.00;241370.70;105.06
PRUDENTIAL_VIDA_INTEIRA_10;F;19;10;10;FIXO;260240.00;247655.50;105.08
PRUDENTIAL_VIDA_INTEIRA_10;F;20;10;10;FIXO;267080.00;254104.90;105.11
PRUDENTIAL_VIDA_INTEIRA_10;F;21;10;10;FIXO;274100.00;260726.00;105.13
PRUDENTIAL_VIDA_INTEIRA_10;F;22;10;10;FIXO;281300.00;267537.80;105.14
PRUDENTIAL_VIDA_INTEIRA_10;F;23;10;10;FIXO;288700.00;274545.30;105.16
PRUDENTIAL_VIDA_INTEIRA_10;F;24;10;10;FIXO;296270.00;281758.60;105.15
PRUDENTIAL_VIDA_INTEIRA_10;F;25;10;10;FIXO;304040.00;295512.70;102.89
PRUDENTIAL_VIDA_INTEIRA_10;F;26;10;10;FIXO;311990.00;303314.20;102.86
PRUDENTIAL_VIDA_INTEIRA_10;F;27;10;10;FIXO;320120.00;311337.60;102.82
PRUDENTIAL_VIDA_INTEIRA_10;F;28;10;10;FIXO;328400.00;319582.80;102.76
PRUDENTIAL_VIDA_INTEIRA_10;F;29;10;10;FIXO;336840.00;328058.90;102.68
PRUDENTIAL_VIDA_INTEIRA_10;F;30;10;10;FIXO;345430.00;336779.90;102.57
