seguradora;produto;produto_pdf;sexo;idade;capital;premio_anual_sem_iof;premio_anual_com_iof;premio_mensal;anos_pagamento;data_cotacao;arquivo
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;66;1000000.0;97494.93;;8390.25;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 66 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;67;1000000.0;100492.0;;8663.37;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 67 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;68;1000000.0;103669.9;;8954.43;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 68 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;69;1000000.0;107062.87;;9266.7;10;12/03/2026;ICATU\HOMEM\ICATU - HOMEM - 69 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;70;1000000.0;110700.73;;9603.11;10;12/03/2026;ICATU\HOMEM\ICATU - HOMEM - 70 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;71;1000000.0;114599.84;;9965.51;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 71 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;72;1000000.0;118767.97;;10355.05;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 72 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;73;1000000.0;123199.72;;10771.78;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 73 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;74;1000000.0;127879.07;;11214.79;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 74 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;75;1000000.0;132803.28;;11684.31;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 75 ANOS.pdf
MAG;MAG_WL_INTEGRAL_10;WHOLE LIFE INTEGRAL 10 ANOS;F;16;1000000.0;23210.89;;;10;27 de fevereiro de 2026;MAG\MULHER\MAG - MULHER - 16 ANOS.pdf
MAG;MAG_WL_INTEGRAL_10;WHOLE LIFE INTEGRAL 10 ANOS;F;17;1000000.0;23782.32;;;10;27 de fevereiro de 2026;MAG\MULHER\MAG - MULHER - 17 ANOS.pdf
MAG;MAG_WL_INTEGRAL_10;WHOLE LIFE INTEGRAL 10 ANOS;F;18;1000000.0;24364.57;;;10;4 de dezembro de 2025;MAG\MULHER\MAG - MULHER - 18 ANOS.pdf
MAG;MAG_WL_INTEGRAL_10;WHOLE LIFE INTEGRAL 10 ANOS;F;19;1000000.0;24954.89;;;10;4 de dezembro de 2025;MAG\MULHER\MAG - MULHER - 19 ANOS.pdf
MAG;MAG_WL_INTEGRAL_10;WHOLE LIFE INTEGRAL 10 ANOS;F;20;1000000.0;25553.65;;;10;4 de dezembro de 2025;MAG\MULHER\MAG - MULHER - 20 ANOS.pdf
MAG;MAG_WL_INTEGRAL_10;WHOLE LIFE INTEGRAL 10 ANOS;F;21;1000000.0;26161.87;;;10;4 de dezembro de 2025;MAG\MULHER\MAG - MULHER - 21 ANOS.pdf
MAG;MAG_WL_INTEGRAL_10;WHOLE LIFE INTEGRAL 10 ANOS;F;22;1000000.0;26781.78;;;10;4 de dezembro de 2025;MAG\MULHER\MAG - MULHER - 22 ANOS.pdf
MAG;MAG_WL_INTEGRAL_10;WHOLE LIFE INTEGRAL 10 ANOS;F;23;1000000.0;27414.96;;;10;4 de dezembro de 2025;MAG\MULHER\MAG - MULHER - 23 ANOS.pdf
MAG;MAG_WL_INTEGRAL_10;WHOLE LIFE INTEGRAL 10 ANOS;F;24;1000000.0;28063.43;;;10;4 de dezembro de 2025;MAG\MULHER\MAG - MULHER - 24 ANOS.pdf
MAG;MAG_WL_INTEGRAL_10;WHOLE LIFE INTEGRAL 10 ANOS;F;25;1000000.0;28729.34;;;10;4 de dezembro de 2025;MAG\MULHER\MAG - MULHER - 25 ANOS.pdf
MAG;MAG_WL_INTEGRAL_10;WHOLE LIFE INTEGRAL 10 ANOS;F;26;1000000.0;29413.84;;;10;4 de dezembro de 2025;MAG\MULHER\MAG - MULHER - 26 ANOS.pdf
MAG;MAG_WL_INTEGRAL_10;WHOLE LIFE INTEGRAL 10 ANOS;F;27;1000000.0;30115.84;;;10;4 de dezembro de 2025;MAG\MULHER\MAG - MULHER - 27 ANOS.pdf
MAG;MAG_WL_INTEGRAL_10;WHOLE LIFE INTEGRAL 10 ANOS;F;28;1000000.0;30835.37;;;10;4 de dezembro de 2025;MAG\MULHER\MAG - MULHER - 28 ANOS.pdf
MAG;MAG_WL_INTEGRAL_10;WHOLE LIFE INTEGRAL 10 ANOS;F;29;1000000.0;31572.06;;;10;4 de dezembro de 2025;MAG\MULHER\MAG - MULHER - 29 ANOS.pdf
MAG;MAG_WL_INTEGRAL_10;WHOLE LIFE INTEGRAL 10 ANOS;F;30;1000000.0;32326.42;;;10;4 de dezembro de 2025;MAG\MULHER\MAG - MULHER - 30 ANOS.pdf
MAG;MAG_WL_INTEGRAL_10;WHOLE LIFE INTEGRAL 10 ANOS;F;31;1000000.0;33098.65;;;10;4 de dezembro de 2025;MAG\MULHER\MAG - MULHER - 31 ANOS.pdf
MAG;MAG_WL_INTEGRAL_10;WHOLE LIFE INTEGRAL 10 ANOS;F;32;1000000.0;33889.55;;;10;4 de dezembro de 2025;MAG\MULHER\MAG - MULHER - 32 ANOS.pdf
